latitude,longitude,name,comments,rating,cp
19.4791625,-99.1477791,Oxxo,11,3.9,11340
19.4216495,-99.1650715,Oxxo,17,2.6,11340
19.4509285,-99.1817671,Oxxo General Mariano,53,4.2,11340
19.4246662,-99.1435542,OXXO,10,2.9,11340
19.4367136,-99.1568131,OXXO Tabacalera,25,3.1,11340
19.4528604,-99.1891823,Oxxo San Matías,9,1.8,11340
19.4626714,-99.1916751,Oxxo,27,2.7,11340
19.427843,-99.2101404,Oxxo,7,3.4,11340
19.4439436,-99.1659332,Oxxo Agricultura MEX,,,11340
19.4724222,-99.1418049,Oxxo Defensores,15,3.5,11340
19.4181117,-99.1618428,Oxxo,10,4.3,11340
19.4342786,-99.1635715,OXXO Sullivan,13,3.9,11340
19.4790693,-99.1575883,Oxxo,34,3.7,11340
19.4331845,-99.1554455,Oxxo,187,3.7,11340
19.4361679,-99.1684128,OXXO Parque Via,54,3.9,11340
19.457536,-99.1922432,Oxxo,3,4.3,11340
19.4456752,-99.1989909,Oxxo,68,4.2,11340
19.4780124,-99.200186,OXXO Cantemoc,10,2.8,11340
19.4195782,-99.177201,Oxxo,3,3.7,11340
19.4962356,-99.1737881,OXXO,6,3.3,11340
19.4829074,-99.1992453,Oxxo Petrolera,90,4.3,11340
19.4186088,-99.1383584,Oxxo Otomíes,10,3.3,11340
19.4118516,-99.1660675,Oxxo,10,3.2,11340
19.4677593,-99.1521036,OXXO,11,2.2,11340
19.455906,-99.1285074,Oxxo Estaño 1,8,2.8,11340
19.4061953,-99.15553,Oxxo,14,2.5,11340
19.4140468,-99.179986,Oxxo,10,4.2,11340
19.4373073,-99.2118557,Oxxo,12,2.8,11340
19.4560789,-99.1662275,Oxxo,30,3.2,11350
19.4498118,-99.164592,OXXO,17,2.8,11350
19.4511956,-99.1725448,Oxxo Plan de Ayala,154,3.7,11350
19.4640836,-99.1556617,OXXO,138,4.2,11350
19.4619655,-99.1758566,OXXO Biólogo,15,3.9,11350
19.4425001,-99.1742479,OXXO,9,3.1,11350
19.4445676,-99.1676939,OXXO Tlaxpana,8,3.5,11350
19.4539135,-99.1766281,OXXO MEXICO TACUBA,18,3.7,11350
19.4602699,-99.1657692,Oxxo,392,3.9,11350
19.4581385,-99.179526,OXXO Mar Egeo,15,1.9,11350
19.4511227,-99.1903175,Oxxo Lago Chiem,27,3.9,11350
19.4468424,-99.1574657,OXXO,9,3.4,11350
19.4606028,-99.1780545,Oxxo,53,4.1,11350
19.445691,-99.167022,OXXO Maestros,13,2.9,11350
19.4447067,-99.1761586,OXXO,47,3.7,11350
19.4375525,-99.1771405,Oxxo Bahía de Ballenas,23,3.7,11350
19.4546015,-99.1914361,OXXO Lago Ontario,17,2.8,11350
19.4488792,-99.1722207,Oxxo,33,3.6,11350
19.4628973,-99.1713479,OXXO,13,2.3,11350
19.4407421,-99.166367,OXXO,14,4.0,11350
19.4480133,-99.151598,Oxxo,8,1.5,11350
19.4363607,-99.152854,Oxxo,5,2.6,11350
19.4318397,-99.177094,OXXO Shakespeare,9,3.7,11350
19.4381584,-99.1513015,OXXO Puente de Alvarado,8,4.1,11350
19.4526227,-99.145337,Oxxo,18,3.3,11350
19.4466235,-99.190199,OXXO Anáhuac I,14,3.0,11350
19.451153,-99.1608224,OXXO Fresno,37,4.0,11350
19.4400381,-99.1485339,Oxxo mina I,12,3.2,11350
19.4500977,-99.146546,Oxxo,50,3.4,11350
19.4479703,-99.1531841,Oxxo,323,3.6,11350
19.4432774,-99.164563,OXXO San Cosme,137,3.9,11350
19.4449619,-99.1937918,Oxxo lago Wetter,12,2.7,11350
19.4582188,-99.1842213,Oxxo Golfo de California,70,4.1,11350
19.4454618,-99.1830273,Oxxo,32,3.2,11350
19.4321424,-99.1821094,Oxxo Spencer,9,2.4,11350
19.4565986,-99.1884229,Oxxo,16,3.5,11350
19.4361679,-99.1684128,OXXO Parque Via,54,3.9,11350
19.4363416,-99.1790899,Oxxo Bahía de San Hipólito,6,4.0,11350
19.4349387,-99.175985,Oxxo Chachalacas.,15,3.9,11350
19.4451867,-99.1585671,OXXO,4,4.0,11350
19.4357663,-99.1695752,Oxxo,7,3.3,11350
19.4677593,-99.1521036,OXXO,11,2.2,11350
19.4393637,-99.159395,Oxxo,22,3.8,11350
19.4362459,-99.1748294,Oxxo,8,3.9,11350
