latitude,longitude,name,comments,rating,Address,Neighborhood,City,Postal,Subregion,Region,Bajo,Medio Bajo,Medio Alto,Alto
19.383688,-99.068832,Oxxo tezontle,37.0,3.9,Avenida Guerra de Reforma 2072,,Leyes de Reforma 3ra Sección,09310,iztapalapa,ciudad de méxico,,193,109,24
19.3727704,-99.07045,Oxxo Guerra de Reforma,36.0,3.9,Avenida Canal del Moral,,Leyes de Reforma 3ra Sección,09310,iztapalapa,ciudad de méxico,,193,109,24
19.3837421,-99.0662791,Oxxo 16 de Marzo,13.0,3.6,Avenida Canal de Tezontle,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.4085695,-99.0814538,Oxxo Universidad,4.0,3.3,Avenida 6 423,Aeropuerto,Puebla,15020,venustiano carranza,ciudad de méxico,,27,83,
19.3922645,-99.0987506,Oxxo,20.0,3.6,Sur 139 2110,,Gabriel Ramos Millán Secc Bramadero,08000,iztacalco,ciudad de méxico,,32,35,20
19.3880545,-99.0994256,Oxxo Oriente 118,26.0,2.2,Avenida Río Churubusco,,Ampliación Gabriel Ramos Millán,08020,iztacalco,ciudad de méxico,,32,35,20
19.3946461,-99.0724573,Oxxo Sur 16 Agrícola Oriental Iztacalco,11.0,3.8,Sur 16,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3983828,-99.0599113,OXXO San Juan III,11.0,3.5,Calzada Ignacio Zaragoza,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3523848,-99.0637089,OXXO,36.0,3.8,Universidad,,Constitución de 1917,09260,iztapalapa,ciudad de méxico,,193,109,24
19.3536355,-99.0724753,OXXO Luis hidalgo,12.0,4.1,Avenida Miguel Hidalgo,,Progresista,09240,iztapalapa,ciudad de méxico,,193,109,24
19.389199,-99.0537539,Oxxo Nicolas Bravo,24.0,4.0,Calle Nicolás Bravo,,Unidad Hab Tepalcates,09210,iztapalapa,ciudad de méxico,,193,109,24
19.3841107,-99.0944122,Oxxo carrizo,1.0,2.0,Avenida Canal de Tezontle,,Carlos Zapata Vela,08040,iztacalco,ciudad de méxico,,32,35,20
19.4095344,-99.0590902,Oxxo Santa Lucía,2.0,4.5,Avenida Norte 341,Aeropuerto,Agrícola Pantitlán,08100,iztacalco,ciudad de méxico,,32,35,20
19.4023609,-99.0637637,Oxxo Perales,1.0,5.0,Calle 4,Aeropuerto,Agrícola Pantitlán,08100,iztacalco,ciudad de méxico,,32,35,20
19.4042069,-99.0802959,Oxxo canal Churubusco,7.0,4.1,Avenida Río Churubusco,Aeropuerto,Cuchilla Agrícola Oriental,08420,iztacalco,ciudad de méxico,,32,35,20
19.3973888,-99.050239,OXXO,32.0,3.1,Avenida Texcoco 1,,Juárez Pantitlán,57460,nezahualcoyotl,méxico,,139,32,5
19.401199,-99.0324669,Oxxo,314.0,3.7,Avenida Benito Juárez,,Porfirio Díaz,57520,nezahualcoyotl,méxico,,139,32,5
19.3904885,-99.0374303,Oxxo valenciana,190.0,3.2,Calle General José María Parras,,Juan Escutia,09100,iztapalapa,ciudad de méxico,,193,109,24
19.3898766,-99.0344795,Oxxo Voceadores,792.0,4.0,Avenida Texcoco,,Juan Escutia,09100,iztapalapa,ciudad de méxico,,193,109,24
19.4002812,-99.0293756,Oxxo,87.0,3.9,Avenida Benito Juárez,,Evolución,57700,nezahualcoyotl,méxico,,139,32,5
19.3884202,-99.0353077,OXXO Bonilla.,12.0,4.1,General Juan Crisóstomo Bonilla,,Juan Escutia,09100,iztapalapa,ciudad de méxico,,193,109,24
19.4011126,-99.1067917,Oxxo herramientas,247.0,3.9,Chicle 182,Aeropuerto,Granjas México,08400,iztacalco,ciudad de méxico,,32,35,20
19.403108,-99.1132653,Oxxo Plaza Iztapalapa,,,Azúcar 161,Aeropuerto,Granjas México,08400,iztacalco,ciudad de méxico,,32,35,20
