State ID,State,Municipality ID,Municipality,Academic Degree ID,Academic Degree,Population
15,Estado de México,15121,Cuautitlán Izcalli,13,Maestría,15442
15,Estado de México,15044,Jaltenco,3,Secundaria,15383
15,Estado de México,15109,Tultitlán,7,Estudios Técnicos o Comerciales con Secundaria Terminada,15364
15,Estado de México,15028,Chiautla,2,Primaria,15295
15,Estado de México,15032,Donato Guerra,3,Secundaria,15288
9,Ciudad de México,9017,Venustiano Carranza,5,Bachillerato Tecnológico o Normal Básica,15232
15,Estado de México,15013,Atizapán de Zaragoza,7,Estudios Técnicos o Comerciales con Secundaria Terminada,15228
15,Estado de México,15062,Ocoyoacac,11,Licenciatura,15192
15,Estado de México,15050,Juchitepec,3,Secundaria,15112
9,Ciudad de México,9003,Coyoacán,12,Especialidad,15111
15,Estado de México,15014,Atlacomulco,0,Ninguno,15004
15,Estado de México,15122,Valle de Chalco Solidaridad,5,Bachillerato Tecnológico o Normal Básica,14999
9,Ciudad de México,9016,Miguel Hidalgo,0,Ninguno,14983
15,Estado de México,15088,Tenancingo,11,Licenciatura,14977
15,Estado de México,15054,Metepec,0,Ninguno,14894
15,Estado de México,15105,Tlatlaya,3,Secundaria,14840
15,Estado de México,15013,Atizapán de Zaragoza,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,14807
15,Estado de México,15082,Tejupilco,4,Preparatoria o Bachillerato General,14753
15,Estado de México,15074,San Felipe del Progreso,11,Licenciatura,14604
15,Estado de México,15030,Chiconcuac,3,Secundaria,14601
15,Estado de México,15075,San Martín de las Pirámides,2,Primaria,14584
15,Estado de México,15002,Acolman,1,Preescolar o Kínder,14532
15,Estado de México,15020,Coacalco de Berriozábal,0,Ninguno,14516
15,Estado de México,15052,Malinalco,3,Secundaria,14454
15,Estado de México,15054,Metepec,13,Maestría,14441
15,Estado de México,15002,Acolman,0,Ninguno,14352
9,Ciudad de México,9002,Azcapotzalco,13,Maestría,14345
15,Estado de México,15045,Jilotepec,11,Licenciatura,14344
9,Ciudad de México,9015,Cuauhtémoc,12,Especialidad,14342
9,Ciudad de México,9016,Miguel Hidalgo,12,Especialidad,14287
15,Estado de México,15108,Tultepec,0,Ninguno,14251
15,Estado de México,15013,Atizapán de Zaragoza,13,Maestría,14206
9,Ciudad de México,9012,Tlalpan,10,Normal de Licenciatura,14177
15,Estado de México,15058,Nezahualcóyotl,10,Normal de Licenciatura,14177
15,Estado de México,15018,Calimaya,11,Licenciatura,14174
15,Estado de México,15044,Jaltenco,2,Primaria,14070
15,Estado de México,15020,Coacalco de Berriozábal,7,Estudios Técnicos o Comerciales con Secundaria Terminada,14033
15,Estado de México,15097,Texcaltitlán,2,Primaria,13970
15,Estado de México,15088,Tenancingo,0,Ninguno,13955
15,Estado de México,15037,Huixquilucan,13,Maestría,13932
15,Estado de México,15039,Ixtapaluca,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,13899
15,Estado de México,15073,San Antonio la Isla,3,Secundaria,13831
15,Estado de México,15023,Coyotepec,4,Preparatoria o Bachillerato General,13778
15,Estado de México,15035,Huehuetoca,0,Ninguno,13768
15,Estado de México,15108,Tultepec,1,Preescolar o Kínder,13598
15,Estado de México,15119,Zumpahuacán,2,Primaria,13584
15,Estado de México,15001,Acambay de Ruíz Castañeda,4,Preparatoria o Bachillerato General,13535
15,Estado de México,15074,San Felipe del Progreso,1,Preescolar o Kínder,13515
9,Ciudad de México,9009,Milpa Alta,1,Preescolar o Kínder,13501
15,Estado de México,15115,Xonacatlán,4,Preparatoria o Bachillerato General,13500
9,Ciudad de México,9002,Azcapotzalco,5,Bachillerato Tecnológico o Normal Básica,13490
9,Ciudad de México,9013,Xochimilco,7,Estudios Técnicos o Comerciales con Secundaria Terminada,13473
15,Estado de México,15054,Metepec,7,Estudios Técnicos o Comerciales con Secundaria Terminada,13439
15,Estado de México,15073,San Antonio la Isla,2,Primaria,13383
15,Estado de México,15048,Jocotitlán,11,Licenciatura,13319
9,Ciudad de México,9003,Coyoacán,99,No especificado,13316
15,Estado de México,15070,La Paz,5,Bachillerato Tecnológico o Normal Básica,13229
15,Estado de México,15085,Temascalcingo,0,Ninguno,13220
9,Ciudad de México,9013,Xochimilco,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,13211
15,Estado de México,15001,Acambay de Ruíz Castañeda,0,Ninguno,13198
15,Estado de México,15067,Otzolotepec,0,Ninguno,13054
9,Ciudad de México,9009,Milpa Alta,0,Ninguno,12902
15,Estado de México,15120,Zumpango,5,Bachillerato Tecnológico o Normal Básica,12852
15,Estado de México,15060,Nicolás Romero,7,Estudios Técnicos o Comerciales con Secundaria Terminada,12793
15,Estado de México,15047,Jiquipilco,0,Ninguno,12629
15,Estado de México,15094,Tepetlixpa,2,Primaria,12629
15,Estado de México,15101,Tianguistenco,11,Licenciatura,12624
9,Ciudad de México,9004,Cuajimalpa de Morelos,13,Maestría,12617
15,Estado de México,15030,Chiconcuac,2,Primaria,12615
15,Estado de México,15081,Tecámac,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,12578
15,Estado de México,15123,Luvianos,3,Secundaria,12501
15,Estado de México,15060,Nicolás Romero,5,Bachillerato Tecnológico o Normal Básica,12350
15,Estado de México,15058,Nezahualcóyotl,13,Maestría,12260
15,Estado de México,15090,Tenango del Valle,11,Licenciatura,12260
15,Estado de México,15111,Villa de Allende,0,Ninguno,12186
9,Ciudad de México,9010,Álvaro Obregón,12,Especialidad,12170
15,Estado de México,15090,Tenango del Valle,0,Ninguno,12145
15,Estado de México,15117,Zacualpan,2,Primaria,12139
15,Estado de México,15085,Temascalcingo,4,Preparatoria o Bachillerato General,12118
15,Estado de México,15007,Amanalco,3,Secundaria,12058
9,Ciudad de México,9005,Gustavo A. Madero,12,Especialidad,12031
15,Estado de México,15054,Metepec,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,12031
9,Ciudad de México,9006,Iztacalco,13,Maestría,11921
15,Estado de México,15084,Temascalapa,4,Preparatoria o Bachillerato General,11868
15,Estado de México,15033,Ecatepec de Morelos,6,Estudios Técnicos o Comerciales con Primaria Terminada,11867
15,Estado de México,15004,Almoloya de Alquisiras,2,Primaria,11825
15,Estado de México,15082,Tejupilco,11,Licenciatura,11813
15,Estado de México,15087,Temoaya,1,Preescolar o Kínder,11762
9,Ciudad de México,9012,Tlalpan,12,Especialidad,11658
15,Estado de México,15008,Amatepec,3,Secundaria,11508
15,Estado de México,15094,Tepetlixpa,3,Secundaria,11482
9,Ciudad de México,9015,Cuauhtémoc,10,Normal de Licenciatura,11411
15,Estado de México,15014,Atlacomulco,1,Preescolar o Kínder,11398
15,Estado de México,15121,Cuautitlán Izcalli,10,Normal de Licenciatura,11380
15,Estado de México,15114,Villa Victoria,4,Preparatoria o Bachillerato General,11332
15,Estado de México,15106,Toluca,10,Normal de Licenciatura,11311
15,Estado de México,15080,Sultepec,3,Secundaria,11231
15,Estado de México,15102,Timilpan,2,Primaria,11189
15,Estado de México,15046,Jilotzingo,2,Primaria,11183
9,Ciudad de México,9014,Benito Juárez,14,Doctorado,11075
15,Estado de México,15020,Coacalco de Berriozábal,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,11033
15,Estado de México,15046,Jilotzingo,3,Secundaria,11026
15,Estado de México,15087,Temoaya,11,Licenciatura,11015
15,Estado de México,15065,Otumba,4,Preparatoria o Bachillerato General,10985
9,Ciudad de México,9011,Tláhuac,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,10939
15,Estado de México,15110,Valle de Bravo,11,Licenciatura,10839
15,Estado de México,15030,Chiconcuac,4,Preparatoria o Bachillerato General,10831
9,Ciudad de México,9016,Miguel Hidalgo,5,Bachillerato Tecnológico o Normal Básica,10806
15,Estado de México,15057,Naucalpan de Juárez,10,Normal de Licenciatura,10795
15,Estado de México,15019,Capulhuac,4,Preparatoria o Bachillerato General,10762
15,Estado de México,15093,Tepetlaoxtoc,4,Preparatoria o Bachillerato General,10743
15,Estado de México,15009,Amecameca,11,Licenciatura,10689
15,Estado de México,15039,Ixtapaluca,7,Estudios Técnicos o Comerciales con Secundaria Terminada,10667
15,Estado de México,15053,Melchor Ocampo,11,Licenciatura,10653
15,Estado de México,15051,Lerma,5,Bachillerato Tecnológico o Normal Básica,10652
